equipo_id,equipo_desc,tipo,subtipo,servicios,areas,muestras,tipo_institucion_descripcion,provincia
SNEM-999,Espectrómetro de Masas,LCMS,No corresponde,Técnicas | Análisis cuantitativo | Análisis cualitativo | Muestras,Fármacos | Veterinaria | Alimentos | Ciencias agrarias | Ambiente,Ambientales | Orgánica,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNRX-1168,Rayos X,DRX,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-1025,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Alimentos,Orgánica,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-1164,Espectrómetro de Masas,GCMS,No corresponde,Muestras | Técnicas,Alimentos | Ciencias agrarias | Toxicología,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-495,Espectrómetro de Masas,GCMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-496,Espectrómetro de Masas,GCMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-497,Espectrómetro de Masas,GCMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-498,Espectrómetro de Masas,LCMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-542,Espectrómetro de Masas,GCMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-800,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Salud | Química y Petroquímica | Ambiente | Forense,Ambientales | Orgánica,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-844,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Ambiente | Química y Petroquímica | Forense | Salud,Orgánica | Ambientales,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-885,Espectrómetro de Masas,GCMS,No corresponde,Técnicas | Análisis cuantitativo | Análisis cualitativo | Muestras,Ambiente | Geología | Química y Petroquímica | Alimentos | Ciencias agrarias,Orgánica | Ambientales,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-887,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Alimentos,Orgánica,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNM-1084,Microscopio,Electrónico,SEM,Muestras | Técnicas | Caracterización de superficies | Toma de imágenes,Salud | Química y Petroquímica | Nanotecnología | Minería extractiva | Fármacos | Ciencia de materiales | Antropología,Polimeros | Aleaciones | Cerámicos,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNM-373,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis cualitativo | Análisis semicuantitativo | Caracterización de superficies | Toma de imágenes,Ambiente | Antropología | Ciencia de materiales | Fármacos | Salud | Química y Petroquímica,Polimeros | Cerámicos | Aleaciones,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNB-121,Bioterio,Docencia | Ensayos Biológicos | Investigación | Producción,,"Almacenamiento de espermatozoides criopreservados | Análisis de alimentos, | Criopreservación de espermatozoides | Provisión de medicado | Servicios de investigación y/o docencia",,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNEM-474,Espectrómetro de Masas,LCMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNB-41,Bioterio,Docencia | Producción,,Asesoramiento | Capacitación y entrenamiento | Provisión de alimento autoclavado | Provisión de viruta estéril | Servicio de hotelería | Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,CABA
SNM-1199,Microscopio,Optico,Otros,Muestras | Análisis cualitativo | Análisis cuantitativo | Análisis de constante de difusión | Análisis de dureza | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Análisis semicuantitativo | Caracterización de superficies,Ciencia de materiales | Nanotecnología,Polimeros | Cerámicos | Aleaciones,Universidad o instituto universitario estatal,CABA
SNM-376,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis cualitativo | Análisis de distancia | Análisis de imagen | Análisis de rugosidad | Análisis de tamaño | Análisis morfológico | Toma de imágenes,Ciencia de materiales | Minería extractiva | Nanotecnología,Aleaciones,Universidad o instituto universitario estatal,CABA
SNM-889,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Toma de imágenes,Minería extractiva | Nanotecnología | Otros | Ciencia de materiales,Biológica | Cerámicos | Aleaciones | Polimeros,Universidad o instituto universitario estatal,CABA
SNM-890,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Análisis morfológico | Toma de imágenes,Nanotecnología | Minería extractiva | Ciencia de materiales | Otros,Aleaciones | Cerámicos | Polimeros,Universidad o instituto universitario estatal,CABA
SNB-27,Bioterio,Docencia | Ensayos Biológicos | Investigación | Producción,,Servicio de hotelería | Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,CABA
SNCAD-377,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CABA
SNCF-74,Citómetro de Flujo,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CABA
SNM-235,Microscopio,Optico,Confocal,,,,Universidad o instituto universitario estatal,CABA
SNEM-906,Espectrómetro de Masas,LCMS,No corresponde,Técnicas | Análisis cuantitativo | Análisis cualitativo | Muestras,Salud | Química de compuestos naturales | Nanotecnología | Toxicología | Alimentos | Ciencia de materiales | Ciencias agrarias | Veterinaria | Ambiente | Bioquímica | Proteomica | Química y Petroquímica | Antropología | Fármacos,Ambientales | Biomoléculas (polímeros naturales) | Orgánica,Universidad o instituto universitario estatal,CABA
SNEM-907,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Fármacos | Ciencia de materiales | Salud | Química y Petroquímica | Química de compuestos naturales | Alimentos | Ambiente,Ambientales | Orgánica,Universidad o instituto universitario estatal,CABA
SNB-3,Bioterio,Docencia | Ensayos Biológicos | Investigación | Producción,,Provisión de viruta estéril | Provisión/venta de animales | Servicio de hotelería | Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,CABA
SNEM-1160,Espectrómetro de Masas,LCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Salud | Química y Petroquímica | Fármacos | Química de compuestos naturales | Nanotecnología | Bioquímica,Orgánica | Ambientales | Biomoléculas (polímeros naturales),Universidad o instituto universitario estatal,CABA
SNB-2,Bioterio,Docencia | Ensayos Biológicos | Investigación | Producción,,Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,CABA
SNM-830,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Análisis morfológico | Análisis semicuantitativo | Toma de imágenes,Química y Petroquímica | Bioquímica | Nanotecnología | Ciencia de materiales,Aleaciones | Polimeros | Cerámicos | Biológica,Universidad o instituto universitario estatal,NEUQUÉN
SNCAD-1118,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SNCAD-409,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SNCAD-413,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SNCAD-927,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SNRX-954,Rayos X,DRX,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SNRX-955,Rayos X,DRX,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SNCF-76,Citómetro de Flujo,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,MENDOZA
SNB-88,Bioterio,Docencia | Ensayos Biológicos | Investigación | Producción,,Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,LA PAMPA
SNM-30,Microscopio,Electrónico,TEM,Muestras | Técnicas | Análisis morfológico,Veterinaria | Ciencias agrarias | Nanotecnología | Salud,Biológica,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-31,Microscopio,Optico,Confocal,Muestras | Técnicas | Análisis cualitativo | Análisis cuantitativo | Análisis de colocalización | Análisis de imagen | Análisis de partículas | Análisis morfológico | Análisis semicuantitativo | Toma de imágenes,Ciencias agrarias | Nanotecnología | Salud | Veterinaria,Biológica,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-248,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis cualitativo | Análisis cuantitativo | Análisis de imagen | Análisis de partículas | Análisis de rugosidad | Análisis semicuantitativo | Caracterización de superficies | Toma de imágenes,Minería extractiva | Nanotecnología | Química y Petroquímica | Salud | Veterinaria | Forense | Ciencias agrarias | Ciencia de materiales | Antropología | Ambiente | Alimentos | Bioquímica,Biológica | Polimeros | Cerámicos | Aleaciones,Universidad o instituto universitario estatal,BUENOS AIRES
SNB-106,Bioterio,Investigación,,No presta servicios,,,Universidad o instituto universitario estatal,BUENOS AIRES
SNB-67,Bioterio,Investigación,,Servicio de hotelería,,,Universidad o instituto universitario estatal,BUENOS AIRES
SNEM-922,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Química y Petroquímica | Forense | Fármacos | Ambiente,Orgánica | Ambientales,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-360,Microscopio,Optico,Disección láser,,Bioquímica | Veterinaria | Salud | Forense | Ciencias agrarias,Biológica,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-361,Microscopio,Optico,Confocal,Técnicas | Análisis cualitativo | Análisis de colocalización | Análisis de imagen | Análisis morfológico | Interacción molecular | Toma de imágenes,Salud | Veterinaria | Toxicología | Antropología | Fármacos | Ciencias agrarias | Ciencia de materiales | Bioquímica | Forense | Ambiente | Alimentos | Química y Petroquímica,Biológica | Polimeros,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-358,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis de tamaño | Análisis morfológico | Toma de imágenes,Veterinaria | Salud | Química y Petroquímica | Nanotecnología | Bioquímica | Ambiente | Antropología | Minería extractiva | Ciencia de materiales | Ciencias agrarias | Fármacos | Forense | Alimentos,Polimeros | Cerámicos | Biológica | Aleaciones,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-359,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis morfológico | Toma de imágenes,Veterinaria | Salud | Bioquímica | Nanotecnología | Química y Petroquímica | Ambiente | Forense | Minería extractiva | Antropología | Alimentos | Fármacos | Ciencias agrarias | Ciencia de materiales,Polimeros | Cerámicos | Biológica | Aleaciones,Universidad o instituto universitario estatal,BUENOS AIRES
SNRX-801,Rayos X,DRX,No corresponde,,,,Universidad o instituto universitario estatal,BUENOS AIRES
SNRX-1055,Rayos X,FRX,No corresponde,,,,Universidad o instituto universitario estatal,SANTA FE
SNRX-688,Rayos X,XPS,No corresponde,,,,Universidad o instituto universitario estatal,SANTA FE
SNRX-871,Rayos X,DRX,No corresponde,,,,Universidad o instituto universitario estatal,SANTA FE
SNCF-114,Citómetro de Flujo,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,SANTA FE
SNM-11,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis cualitativo | Análisis morfológico | Análisis semicuantitativo | Toma de imágenes,Otros | Salud | Química y Petroquímica | Ambiente | Veterinaria | Alimentos | Antropología | Bioquímica | Ciencia de materiales | Ciencias agrarias | Fármacos | Nanotecnología | Minería extractiva,Otros | Cerámicos | Biológica | Aleaciones | Polimeros,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-13,Microscopio,Electrónico,TEM,Muestras | Técnicas | Análisis cualitativo | Análisis de tamaño | Análisis morfológico,Alimentos | Forense | Salud | Veterinaria | Bioquímica | Ciencias agrarias,Biológica,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-758,Microscopio,Optico,Confocal,Técnicas | Análisis cualitativo | Análisis cuantitativo | Análisis de colocalización | Análisis de distancia | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Análisis morfológico | Análisis semicuantitativo | Caracterización de superficies | Interacción molecular | Toma de imágenes,Veterinaria | Salud | Ciencia de materiales | Bioquímica | Química y Petroquímica,Cerámicos | Biológica,Universidad o instituto universitario estatal,BUENOS AIRES
SNEM-898,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Salud | Química de compuestos naturales | Alimentos | Química y Petroquímica | Fármacos | Toxicología | Bioquímica | Forense | Ambiente | Nanotecnología | Veterinaria | Ciencias agrarias,Orgánica | Ambientales,Universidad o instituto universitario estatal,BUENOS AIRES
SNEM-849,Espectrómetro de Masas,LCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Ambiente | Química de compuestos naturales | Química y Petroquímica,Orgánica | Biomoléculas (polímeros naturales) | Polímeros sintéticos | Ambientales,Universidad o instituto universitario estatal,MISIONES
SNEM-862,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras,Salud | Ciencia de materiales | Alimentos | Toxicología,Inorgánica | Orgánica | Ambientales,Universidad o instituto universitario estatal,MISIONES
SNCAD-1077,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CORRIENTES
SNCAD-437,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CORRIENTES
SNCAD-438,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CORRIENTES
SNB-99,Bioterio,Investigación,,Ensayos pre-clínicos | Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,CORRIENTES
SNCAD-451,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Universidad o instituto universitario estatal,CÓRDOBA
SINALA-1116,Láseres,Sólido,No corresponde,Prestaciones de láseres,Nanotecnología | Química y Petroquímica,,Universidad o instituto universitario estatal,CÓRDOBA
SINALA-1122,Láseres,Sólido,No corresponde,Prestaciones de láseres,Nanotecnología | Química y Petroquímica,,Universidad o instituto universitario estatal,CÓRDOBA
SINALA-1123,Láseres,Sistema Láser,No corresponde,Prestaciones de láseres,Química y Petroquímica | Nanotecnología | Ambiente,,Universidad o instituto universitario estatal,CÓRDOBA
SNB-114,Bioterio,Docencia | Ensayos Biológicos | Investigación | Producción,,Provisión de medicado | Provisión/venta de animales | Servicio de hotelería | Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,CÓRDOBA
SNEM-1104,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Técnicas,Química de compuestos naturales | Ambiente | Química y Petroquímica | Ciencias agrarias | Alimentos,Orgánica | Ambientales,Universidad o instituto universitario estatal,SANTA FE
SNEM-477,Espectrómetro de Masas,GCMS,No corresponde,,,,Universidad o instituto universitario estatal,SANTA FE
SNB-65,Bioterio,Docencia | Investigación | Producción,,Provisión/venta de animales | Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,SANTA FE
SNB-48,Bioterio,Docencia | Ensayos Biológicos | Producción,,Servicios de investigación y/o docencia,,,Universidad o instituto universitario estatal,SALTA
SNM-1,Microscopio,SPM,STM,,,,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-2,Microscopio,SPM,STM,,,,Universidad o instituto universitario estatal,BUENOS AIRES
SNM-262,Microscopio,SPM,AFM,Técnicas | Muestras | Análisis de elasticidad | Análisis de rugosidad | Análisis de tamaño | Análisis morfológico | Curvas de fuerza | Mapas de adhesión | Toma de imágenes,Forense | Bioquímica | Ciencia de materiales | Fármacos | Nanotecnología | Química y Petroquímica,Polimeros | Biológica | Cerámicos | Aleaciones,Universidad o instituto universitario estatal,BUENOS AIRES
SINALA-1087,Láseres,Sistema Láser,No corresponde,,,,Universidad o instituto universitario estatal,TUCUMÁN
SNMAG-1022,Magnetómetro,Magnetotransporte,No corresponde,,,,Universidad o instituto universitario estatal,TUCUMÁN
SNEM-785,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Salud | Toxicología | Ambiente | Forense | Ciencias agrarias | Veterinaria | Química y Petroquímica | Química de compuestos naturales | Fármacos | Bioquímica | Alimentos,Orgánica,Universidad o instituto universitario estatal,TUCUMÁN
SNRM-430,Resonador Magnético,RMN,No corresponde,,,,Universidad o instituto universitario estatal,TUCUMÁN
SNEM-510,Espectrómetro de Masas,GCMS,No corresponde,,,,Universidad o instituto universitario estatal,TUCUMÁN
SNM-486,Microscopio,SPM,AFM,Técnicas | Análisis de partículas | Análisis de rugosidad | Análisis de tamaño | Análisis morfológico | Caracterización de superficies | Curvas de fuerza | Toma de imágenes,Alimentos | Fármacos | Nanotecnología | Química y Petroquímica | Ciencia de materiales | Salud,Polimeros | Aleaciones | Biológica | Cerámicos,Universidad o instituto universitario estatal,CÓRDOBA
SNEM-1148,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Ambiente | Alimentos,Orgánica | Ambientales,Universidad o instituto universitario estatal,MENDOZA
SNEM-508,Espectrómetro de Masas,LCMS,No corresponde,Técnicas | Análisis cuantitativo | Análisis cualitativo,Salud | Veterinaria | Ciencias agrarias | Ciencia de materiales | Fármacos | Bioquímica | Forense,Orgánica | Polímeros sintéticos | Biomoléculas (polímeros naturales) | Ambientales,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,CABA
SNEM-509,Espectrómetro de Masas,MALDI ,No corresponde,Técnicas | Análisis cualitativo | Muestras,Salud | Ciencia de materiales | Alimentos | Ciencias agrarias | Veterinaria | Fármacos | Bioquímica | Ambiente | Forense,Ambientales | Polímeros sintéticos | Orgánica | Biomoléculas (polímeros naturales),Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,CABA
SNB-4,Bioterio,Ensayos Biológicos | Investigación | Producción,,Servicio de hotelería | Servicios de investigación y/o docencia,,,Organismo gubernamental de ciencia y tecnología|Entidad sin fines de lucro,CABA
SNM-158,Microscopio,Optico,Confocal,Técnicas,Veterinaria | Salud | Forense | Ciencias agrarias | Bioquímica,Biológica,Organismo gubernamental de ciencia y tecnología|Entidad sin fines de lucro,CABA
SNM-173,Microscopio,Optico,Disección láser,Muestras,Forense | Veterinaria | Bioquímica | Salud | Ciencias agrarias,Biológica,Organismo gubernamental de ciencia y tecnología|Entidad sin fines de lucro,CABA
SNB-18,Bioterio,Ensayos Biológicos | Investigación,,Servicios de investigación y/o docencia,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,CABA
SNRM-521,Resonador Magnético,RMN,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,BUENOS AIRES
SNB-24,Bioterio,Investigación | Producción,,No presta servicios,,,Organismo gubernamental de ciencia y tecnología|Entidad sin fines de lucro,CABA
SNCF-11,Citómetro de Flujo,No corresponde,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Entidad sin fines de lucro,CABA
SNM-85,Microscopio,Optico,Confocal,Técnicas,Salud | Otros | Bioquímica,Biológica,Organismo gubernamental de ciencia y tecnología|Entidad sin fines de lucro,CABA
SNEM-479,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Muestras,Antropología | Ambiente | Alimentos | Forense | Geología | Ciencias agrarias,Inorgánica | Ambientales,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,CABA
SNRX-1066,Rayos X,DRX,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Entidad administrativa de gobierno,BUENOS AIRES
SNCAD-836,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,BUENOS AIRES
SINALA-1107,Láseres,Sólido,No corresponde,Prestaciones de láseres,Química y Petroquímica | Otros | Salud | Ciencia de materiales | Alimentos,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal|Entidad administrativa de gobierno,BUENOS AIRES
SINALA-1109,Láseres,Sólido,No corresponde,Prestaciones de láseres,Ciencia de materiales | Otros | Química y Petroquímica,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal|Entidad administrativa de gobierno,BUENOS AIRES
SINALA-1110,Láseres,Sistema Láser,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal|Entidad administrativa de gobierno,BUENOS AIRES
SINALA-966,Láseres,Sólido,No corresponde,Prestaciones de láseres,Alimentos | Ciencia de materiales | Química y Petroquímica | Bioquímica | Fármacos,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal|Entidad administrativa de gobierno,BUENOS AIRES
SINALA-967,Láseres,Sólido,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal|Entidad administrativa de gobierno,BUENOS AIRES
SINALA-969,Láseres,Sistema Láser,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal|Entidad administrativa de gobierno,BUENOS AIRES
SNM-225,Microscopio,SPM,STM,Técnicas | Análisis de distancia | Análisis de imagen | Análisis de rugosidad | Análisis de tamaño | Análisis morfológico | Análisis propiedades conductoras | Caracterización de superficies | Toma de imágenes,Ciencia de materiales | Nanotecnología | Química y Petroquímica,Otros,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNM-226,Microscopio,SPM,AFM-STM,Técnicas | Análisis de distancia | Análisis de imagen | Análisis de rugosidad | Análisis de tamaño | Análisis morfológico | Análisis propiedades conductoras | Caracterización de superficies | Curvas de fuerza | Mapas de adhesión | Toma de imágenes,Alimentos | Ciencia de materiales | Bioquímica | Nanotecnología | Química y Petroquímica,Aleaciones | Biológica | Polimeros | Cerámicos,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNRM-1194,Resonador Magnético,RMN,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNRM-428,Resonador Magnético,EPR,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNM-1183,Microscopio,Electrónico,TEM/STEM,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNM-16,Microscopio,Electrónico,TEM,Muestras | Técnicas,Veterinaria | Ciencias agrarias | Ciencia de materiales | Salud,Polimeros | Biológica | Aleaciones | Cerámicos,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNM-17,Microscopio,Electrónico,SEM,Técnicas | Muestras | Análisis cualitativo | Análisis cuantitativo | Toma de imágenes,Minería extractiva | Ciencia de materiales,Cerámicos | Biológica | Polimeros | Aleaciones,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNM-952,Microscopio,SPM,AFM,Técnicas | Muestras | Análisis cuantitativo | Análisis de imagen | Análisis de partículas | Análisis de rugosidad | Análisis de tamaño | Análisis morfológico | Análisis propiedades conductoras | Caracterización de superficies | Curvas de fuerza | Mapas de adhesión | Toma de imágenes,Nanotecnología | Ciencia de materiales | Salud | Fármacos,Biológica | Cerámicos | Polimeros | Aleaciones,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNRX-1085,Rayos X,DRX,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNRX-1182,Rayos X,DRX,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SNRM-408,Resonador Magnético,RMN,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,SANTA FE
SINALA-1101,Láseres,Sistema Láser,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,BUENOS AIRES
SINALA-1111,Láseres,Sistema Láser,No corresponde,,,,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,BUENOS AIRES
SNEM-783,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Química y Petroquímica | Forense | Salud | Alimentos | Química de compuestos naturales,Ambientales | Biomoléculas (polímeros naturales) | Orgánica | Inorgánica,Organismo gubernamental de ciencia y tecnología|Universidad o instituto universitario estatal,BUENOS AIRES
